State,Year,AvgTemp_F_Yearly,AvgTemp_C_Yearly
Indiana,1956,52.9733,11.651833333333334
Indiana,1957,52.463,11.368333333333334
Indiana,1958,50.39495,10.219416666666667
Indiana,1959,52.8824,11.601333333333333
Indiana,1960,51.00515000000001,10.558416666666671
Indiana,1961,51.766099999999994,10.981166666666663
Indiana,1962,51.44389999999999,10.802166666666663
Indiana,1963,50.66765000000001,10.370916666666671
Indiana,1964,52.8962,11.609
Indiana,1965,52.500350000000005,11.389083333333337
Indiana,1966,51.116600000000005,10.620333333333337
Indiana,1967,51.22385,10.679916666666667
Indiana,1968,51.679399999999994,10.932999999999996
Indiana,1969,51.14165,10.63425
Indiana,1970,51.99755,11.109749999999998
Indiana,1971,52.599050000000005,11.44391666666667
Indiana,1972,51.14000000000001,10.633333333333338
Indiana,1973,53.83715000000001,12.131750000000006
Indiana,1974,52.217749999999995,11.232083333333332
Indiana,1975,52.88795000000001,11.604416666666673
Indiana,1976,50.909,10.504999999999999
Indiana,1977,52.0418,11.134333333333336
Indiana,1978,50.09285,10.051583333333333
Indiana,1979,50.22395,10.124416666666669
Indiana,1980,51.509599999999985,10.838666666666658
Indiana,1981,51.7946,10.997000000000002
Indiana,1982,51.648050000000005,10.915583333333336
Indiana,1983,52.739749999999994,11.522083333333331
Indiana,1984,52.2782,11.265666666666666
Indiana,1985,51.943400000000004,11.07966666666667
Indiana,1986,53.313199999999995,11.840666666666664
Indiana,1987,54.1772,12.320666666666666
Indiana,1988,52.32065,11.289250000000001
Indiana,1989,51.04384999999999,10.579916666666662
Indiana,1990,54.168800000000005,12.316000000000003
Indiana,1991,54.533449999999995,12.51858333333333
Indiana,1992,52.17095,11.206083333333332
Indiana,1993,51.6941,10.941166666666666
Indiana,1994,52.42625,11.347916666666668
Indiana,1995,52.297850000000004,11.276583333333337
Indiana,1996,50.962250000000004,10.534583333333336
Indiana,1997,51.46385,10.81325
Indiana,1998,55.83664999999999,13.242583333333329
Indiana,1999,54.14900000000002,12.305000000000012
Indiana,2000,52.54864999999999,11.41591666666666
Indiana,2001,54.07745,12.26525
Indiana,2002,54.052400000000006,12.251333333333337
Indiana,2003,52.073299999999996,11.151833333333332
Indiana,2004,53.19125,11.772916666666665
Indiana,2005,53.80280000000001,12.112666666666675
Indiana,2006,54.35374999999999,12.418749999999996
Indiana,2007,54.24695,12.359416666666666
Indiana,2008,51.9803,11.100166666666667
Indiana,2009,52.17365,11.207583333333336
Indiana,2010,53.58350000000001,11.990833333333338
Indiana,2011,53.91545,12.17525
Indiana,2012,55.97495000000001,13.31941666666667
Indiana,2013,,
Iowa,1800,47.710100000000004,8.727833333333336
Iowa,1801,48.29794999999999,9.054416666666663
Iowa,1802,48.56134999999998,9.20074999999999
Iowa,1803,48.21455,9.008083333333335
Iowa,1804,48.326449999999994,9.070249999999998
Iowa,1805,48.35,9.083333333333334
Iowa,1806,47.765449999999994,8.75858333333333
Iowa,1807,47.371399999999994,8.539666666666664
Iowa,1808,46.990700000000004,8.32816666666667
Iowa,1809,45.480799999999995,7.489333333333331
Iowa,1810,45.5885,7.549166666666669
Iowa,1811,45.9023,7.723499999999999
Iowa,1812,44.5649,6.980500000000001
Iowa,1813,46.94825,8.304583333333335
Iowa,1814,46.74365,8.190916666666668
Iowa,1815,45.49535,7.497416666666668
Iowa,1816,44.35999999999999,6.866666666666663
Iowa,1817,45.0173,7.231833333333333
Iowa,1818,46.86695,8.259416666666668
Iowa,1819,45.74975,7.63875
Iowa,1820,45.20375000000001,7.335416666666671
Iowa,1821,45.95435,7.752416666666666
Iowa,1822,47.02055000000001,8.344750000000005
Iowa,1823,46.30295,7.946083333333335
Iowa,1824,46.54145,8.078583333333333
Iowa,1825,49.0448,9.469333333333335
Iowa,1826,47.2622,8.479000000000001
Iowa,1827,48.57755,9.209750000000001
Iowa,1828,48.466100000000004,9.147833333333336
Iowa,1829,47.5151,8.619499999999999
Iowa,1830,49.64765,9.80425
Iowa,1831,45.4937,7.496499999999998
Iowa,1832,47.906600000000005,8.837000000000003
Iowa,1833,49.073299999999996,9.485166666666665
Iowa,1834,49.250449999999994,9.58358333333333
Iowa,1835,45.82775,7.682083333333335
Iowa,1836,44.79695,7.109416666666668
Iowa,1837,46.3769,7.987166666666667
Iowa,1838,45.162499999999994,7.312499999999997
Iowa,1839,48.78275,9.32375
Iowa,1840,47.29325,8.49625
Iowa,1841,46.88165,8.267583333333334
Iowa,1842,47.72074999999999,8.733749999999993
Iowa,1843,44.79395,7.107750000000002
Iowa,1844,47.059400000000004,8.366333333333335
Iowa,1845,48.52265,9.17925
Iowa,1846,49.94464999999999,9.969249999999994
Iowa,1847,45.4865,7.4925
Iowa,1848,46.269650000000006,7.927583333333337
Iowa,1849,45.92225,7.734583333333332
Iowa,1850,46.94075,8.300416666666667
Iowa,1851,48.17555000000001,8.986416666666672
Iowa,1852,46.73765,8.187583333333334
Iowa,1853,46.82540000000001,8.236333333333338
Iowa,1854,49.299350000000004,9.610750000000003
Iowa,1855,46.94735000000001,8.304083333333338
Iowa,1856,45.1949,7.330499999999999
Iowa,1857,45.120650000000005,7.289250000000003
Iowa,1858,47.79305,8.773916666666668
Iowa,1859,46.11575,7.842083333333333
Iowa,1860,47.8718,8.817666666666668
Iowa,1861,46.99490000000001,8.330500000000004
Iowa,1862,45.761149999999994,7.64508333333333
Iowa,1863,46.87655000000001,8.264750000000005
Iowa,1864,46.385600000000004,7.992000000000003
Iowa,1865,47.15555,8.419749999999999
Iowa,1866,45.72245,7.623583333333335
Iowa,1867,45.64445,7.5802499999999995
Iowa,1868,45.6704,7.594666666666668
Iowa,1869,44.87855,7.154749999999999
Iowa,1870,48.1274,8.959666666666667
Iowa,1871,47.4179,8.565500000000002
Iowa,1872,45.18305,7.323916666666668
Iowa,1873,45.263299999999994,7.3684999999999965
Iowa,1874,47.4479,8.582166666666666
Iowa,1875,43.15369999999999,6.196499999999997
Iowa,1876,45.935300000000005,7.741833333333337
Iowa,1877,48.21185,9.006583333333333
Iowa,1878,49.9361,9.964500000000003
Iowa,1879,47.83774999999999,8.798749999999997
Iowa,1880,47.841049999999996,8.800583333333332
Iowa,1881,47.51855,8.621416666666665
Iowa,1882,48.260600000000004,9.033666666666669
Iowa,1883,44.774,7.096666666666668
Iowa,1884,45.78139999999999,7.656333333333328
Iowa,1885,44.85215,7.140083333333335
Iowa,1886,46.55510000000001,8.086166666666672
Iowa,1887,46.47605000000001,8.042250000000005
Iowa,1888,45.0845,7.269166666666666
Iowa,1889,48.06334999999999,8.92408333333333
Iowa,1890,47.6141,8.6745
Iowa,1891,47.0591,8.366166666666668
Iowa,1892,45.97565,7.764250000000001
Iowa,1893,45.1526,7.307
Iowa,1894,49.03205,9.46225
Iowa,1895,46.7825,8.2125
Iowa,1896,47.923849999999995,8.846583333333331
Iowa,1897,47.16320000000001,8.424000000000007
Iowa,1898,47.2775,8.487500000000002
Iowa,1899,46.9805,8.3225
Iowa,1900,48.78050000000001,9.322500000000007
Iowa,1901,48.32495,9.069416666666667
Iowa,1902,47.05160000000001,8.362000000000005
Iowa,1903,46.568450000000006,8.093583333333337
Iowa,1904,45.722,7.623333333333334
Iowa,1905,46.681099999999994,8.156166666666664
Iowa,1906,47.90090000000001,8.833833333333338
Iowa,1907,46.828399999999995,8.237999999999998
Iowa,1908,48.80584999999999,9.33658333333333
Iowa,1909,46.826600000000006,8.237000000000004
Iowa,1910,48.128750000000004,8.960416666666669
Iowa,1911,48.911,9.395000000000001
Iowa,1912,45.77465,7.652583333333334
Iowa,1913,49.140950000000004,9.522750000000002
Iowa,1914,48.633649999999996,9.240916666666665
Iowa,1915,47.25215000000001,8.47341666666667
Iowa,1916,46.73075,8.18375
Iowa,1917,44.34664999999999,6.859249999999995
Iowa,1918,48.597350000000006,9.220750000000004
Iowa,1919,47.97245000000001,8.87358333333334
Iowa,1920,47.54900000000001,8.638333333333337
Iowa,1921,51.42859999999999,10.793666666666661
Iowa,1922,49.37914999999999,9.655083333333327
Iowa,1923,48.310550000000006,9.06141666666667
Iowa,1924,45.4877,7.493166666666665
Iowa,1925,47.9195,8.844166666666666
Iowa,1926,47.464400000000005,8.591333333333337
Iowa,1927,47.93855,8.85475
Iowa,1928,48.591499999999996,9.217499999999998
Iowa,1929,45.603649999999995,7.557583333333331
Iowa,1930,49.3166,9.620333333333335
Iowa,1931,52.35425,11.307916666666667
Iowa,1932,47.4035,8.557500000000001
Iowa,1933,49.873999999999995,9.929999999999998
Iowa,1934,50.58875,10.327083333333333
Iowa,1935,47.768449999999994,8.760249999999997
Iowa,1936,47.6774,8.709666666666667
Iowa,1937,46.79045,8.216916666666666
Iowa,1938,50.47625,10.264583333333334
Iowa,1939,50.4305,10.239166666666668
Iowa,1940,47.226350000000004,8.459083333333336
Iowa,1941,50.401700000000005,10.22316666666667
Iowa,1942,48.2891,9.049499999999998
Iowa,1943,47.26265000000001,8.479250000000004
Iowa,1944,48.76880000000002,9.316000000000011
Iowa,1945,47.19905000000001,8.44391666666667
Iowa,1946,50.14505,10.080583333333333
Iowa,1947,48.34640000000001,9.081333333333339
Iowa,1948,48.574400000000004,9.208000000000002
Iowa,1949,48.890150000000006,9.38341666666667
Iowa,1950,45.794149999999995,7.663416666666664
Iowa,1951,45.349549999999994,7.416416666666663
Iowa,1952,48.81364999999999,9.340916666666661
Iowa,1953,50.1233,10.0685
Iowa,1954,50.24915000000001,10.138416666666672
Iowa,1955,48.913850000000004,9.396583333333336
Iowa,1956,49.099849999999996,9.499916666666666
Iowa,1957,48.5228,9.179333333333332
Iowa,1958,47.875099999999996,8.819499999999998
Iowa,1959,47.89789999999999,8.832166666666662
Iowa,1960,47.08445,8.380249999999998
Iowa,1961,47.71790000000001,8.732166666666672
Iowa,1962,47.473850000000006,8.596583333333337
Iowa,1963,48.6815,9.2675
Iowa,1964,49.429849999999995,9.683249999999997
Iowa,1965,47.678,8.709999999999999
Iowa,1966,47.3813,8.545166666666669
Iowa,1967,47.64065,8.689250000000001
Iowa,1968,48.5966,9.220333333333334
Iowa,1969,47.0591,8.366166666666668
Iowa,1970,47.95295000000001,8.862750000000005
Iowa,1971,48.44675,9.137083333333335
Iowa,1972,46.55779999999999,8.087666666666664
Iowa,1973,49.75325,9.862916666666667
Iowa,1974,48.61235,9.229083333333334
Iowa,1975,48.36500000000001,9.091666666666672
Iowa,1976,48.362,9.090000000000002
Iowa,1977,49.32605,9.625583333333335
Iowa,1978,46.281200000000005,7.934000000000004
Iowa,1979,46.0412,7.800666666666669
Iowa,1980,48.95915,9.421750000000001
Iowa,1981,49.920649999999995,9.955916666666663
Iowa,1982,47.02895000000001,8.349416666666672
Iowa,1983,48.5348,9.185999999999998
Iowa,1984,48.674150000000004,9.26341666666667
Iowa,1985,46.834399999999995,8.241333333333332
Iowa,1986,49.4882,9.715666666666667
Iowa,1987,52.02695000000001,11.126083333333337
Iowa,1988,49.63864999999999,9.799249999999995
Iowa,1989,47.483,8.601666666666665
Iowa,1990,50.412650000000006,10.229250000000004
Iowa,1991,49.64690000000001,9.803833333333339
Iowa,1992,48.869,9.371666666666666
Iowa,1993,46.693549999999995,8.163083333333331
Iowa,1994,48.49955,9.166416666666667
Iowa,1995,48.28639999999999,9.047999999999996
Iowa,1996,46.17770000000001,7.876500000000005
Iowa,1997,48.19565,8.997583333333335
Iowa,1998,51.89690000000001,11.053833333333339
Iowa,1999,50.75135,10.417416666666668
Iowa,2000,49.657399999999996,9.809666666666665
Iowa,2001,50.11475000000001,10.063750000000004
Iowa,2002,50.1515,10.084166666666667
Iowa,2003,49.01600000000001,9.45333333333334
Iowa,2004,49.546549999999996,9.748083333333332
Iowa,2005,50.674699999999994,10.374833333333331
Iowa,2006,51.43609999999999,10.797833333333328
Iowa,2007,50.0174,10.009666666666668
Iowa,2008,47.04095,8.356083333333334
Iowa,2009,47.833850000000005,8.796583333333336
Iowa,2010,49.36175000000001,9.645416666666671
Iowa,2011,49.50155000000001,9.723083333333339
Iowa,2012,53.13560000000001,11.742000000000006
Iowa,2013,,
Kansas,1800,,
Kansas,1801,,
Kansas,1802,,
Kansas,1803,,
Kansas,1804,,
Kansas,1805,,
Kansas,1806,,
Kansas,1807,,
Kansas,1808,,
Kansas,1809,,
Kansas,1810,,
Kansas,1811,,
Kansas,1812,51.0542,10.585666666666668
Kansas,1813,,
Kansas,1814,,
Kansas,1815,51.91010000000001,11.06116666666667
Kansas,1816,,
Kansas,1817,51.46009999999999,10.811166666666661
Kansas,1818,,
Kansas,1819,,
Kansas,1820,51.64565000000001,10.914250000000006
Kansas,1821,52.59845000000001,11.443583333333338
Kansas,1822,53.464850000000006,11.92491666666667
Kansas,1823,52.810550000000006,11.561416666666672
Kansas,1824,53.313050000000004,11.840583333333337
Kansas,1825,54.91535,12.730749999999999
Kansas,1826,53.56055,11.978083333333334
Kansas,1827,54.92135000000001,12.73408333333334
Kansas,1828,54.26990000000001,12.37216666666667
Kansas,1829,53.76275000000001,12.090416666666673
Kansas,1830,55.4408,13.02266666666667
Kansas,1831,51.887,11.048333333333334
Kansas,1832,53.736799999999995,12.075999999999999
Kansas,1833,54.86645000000001,12.703583333333338
Kansas,1834,55.03805,12.798916666666667
Kansas,1835,51.815450000000006,11.008583333333338
Kansas,1836,51.175549999999994,10.653083333333331
Kansas,1837,52.8365,11.575833333333334
Kansas,1838,51.43189999999999,10.795499999999995
Kansas,1839,53.903600000000004,12.16866666666667
Kansas,1840,52.944050000000004,11.635583333333336
Kansas,1841,52.88120000000001,11.60066666666667
Kansas,1842,53.80969999999999,12.116499999999997
Kansas,1843,51.9005,11.055833333333334
Kansas,1844,53.2289,11.793833333333335
Kansas,1845,54.21845,12.343583333333333
Kansas,1846,55.1294,12.849666666666666
Kansas,1847,51.637249999999995,10.90958333333333
Kansas,1848,52.446949999999994,11.359416666666664
Kansas,1849,52.758199999999995,11.532333333333332
Kansas,1850,53.02850000000001,11.682500000000005
Kansas,1851,54.06545,12.258583333333332
Kansas,1852,52.49435,11.38575
Kansas,1853,53.141,11.745
Kansas,1854,55.23859999999999,12.910333333333329
Kansas,1855,53.63915000000001,12.021750000000004
Kansas,1856,51.9095,11.060833333333335
Kansas,1857,52.682300000000005,11.49016666666667
Kansas,1858,53.7053,12.0585
Kansas,1859,53.00645,11.670250000000001
Kansas,1860,54.987199999999994,12.770666666666664
Kansas,1861,54.480799999999995,12.489333333333331
Kansas,1862,53.763650000000005,12.09091666666667
Kansas,1863,54.061550000000004,12.25641666666667
Kansas,1864,53.09510000000001,11.719500000000005
Kansas,1865,53.54135,11.967416666666669
Kansas,1866,52.97854999999999,11.654749999999996
Kansas,1867,53.402750000000005,11.89041666666667
Kansas,1868,52.98335,11.657416666666668
Kansas,1869,51.21365000000001,10.674250000000004
Kansas,1870,53.98985,12.216583333333332
Kansas,1871,54.24979999999999,12.360999999999997
Kansas,1872,51.82670000000001,11.014833333333339
Kansas,1873,51.94835,11.082416666666665
Kansas,1874,53.73065,12.072583333333332
Kansas,1875,51.228199999999994,10.68233333333333
Kansas,1876,52.85959999999999,11.588666666666663
Kansas,1877,53.55589999999999,11.975499999999993
Kansas,1878,54.695150000000005,12.60841666666667
Kansas,1879,54.3878,12.437666666666667
Kansas,1880,53.18030000000001,11.76683333333334
Kansas,1881,53.69749999999999,12.054166666666662
Kansas,1882,54.1406,12.300333333333333
Kansas,1883,51.595400000000005,10.886333333333337
Kansas,1884,51.580099999999995,10.877833333333331
Kansas,1885,51.665600000000005,10.925333333333336
Kansas,1886,52.71575000000001,11.508750000000004
Kansas,1887,53.28635,11.82575
Kansas,1888,52.92199999999999,11.623333333333328
Kansas,1889,53.70650000000001,12.059166666666675
Kansas,1890,54.222649999999994,12.345916666666664
Kansas,1891,52.5563,11.420166666666667
Kansas,1892,52.1714,11.206333333333333
Kansas,1893,53.27345,11.818583333333333
Kansas,1894,54.20150000000001,12.334166666666674
Kansas,1895,52.417699999999996,11.343166666666665
Kansas,1896,54.755149999999986,12.641749999999993
Kansas,1897,53.976800000000004,12.209333333333337
Kansas,1898,52.975699999999996,11.653166666666666
Kansas,1899,53.02474999999999,11.680416666666662
Kansas,1900,54.976400000000005,12.76466666666667
Kansas,1901,54.47405,12.485583333333333
Kansas,1902,53.32115000000001,11.84508333333334
Kansas,1903,52.392799999999994,11.32933333333333
Kansas,1904,53.324149999999996,11.846749999999998
Kansas,1905,52.615100000000005,11.452833333333336
Kansas,1906,53.41055,11.89475
Kansas,1907,53.96645,12.203583333333334
Kansas,1908,54.766549999999995,12.64808333333333
Kansas,1909,53.453150000000015,11.918416666666676
Kansas,1910,54.99560000000002,12.775333333333343
Kansas,1911,55.114250000000006,12.841250000000004
Kansas,1912,51.89464999999999,11.05258333333333
Kansas,1913,54.393499999999996,12.440833333333332
Kansas,1914,54.87605000000001,12.708916666666674
Kansas,1915,52.66714999999999,11.481749999999996
Kansas,1916,53.2169,11.78716666666667
Kansas,1917,52.2728,11.262666666666666
Kansas,1918,54.305150000000005,12.391750000000004
Kansas,1919,53.02175,11.678749999999999
Kansas,1920,53.47235,11.929083333333333
Kansas,1921,56.716100000000004,13.73116666666667
Kansas,1922,54.8843,12.713500000000002
Kansas,1923,54.023,12.235000000000003
Kansas,1924,52.12685,11.181583333333332
Kansas,1925,54.83570000000001,12.686500000000006
Kansas,1926,54.322100000000006,12.40116666666667
Kansas,1927,54.07250000000001,12.262500000000008
Kansas,1928,54.239749999999994,12.355416666666663
Kansas,1929,52.398500000000006,11.332500000000003
Kansas,1930,54.63215,12.573416666666668
Kansas,1931,56.4677,13.593166666666667
Kansas,1932,53.71925000000001,12.066250000000005
Kansas,1933,56.79845,13.776916666666668
Kansas,1934,57.59630000000001,14.220166666666671
Kansas,1935,54.89045000000001,12.716916666666672
Kansas,1936,55.26485,12.924916666666668
Kansas,1937,53.65625,12.03125
Kansas,1938,56.77985000000001,13.76658333333334
Kansas,1939,56.70575,13.725416666666668
Kansas,1940,53.66195,12.034416666666665
Kansas,1941,55.2158,12.897666666666668
Kansas,1942,54.0614,12.256333333333334
Kansas,1943,54.586099999999995,12.547833333333331
Kansas,1944,54.17675,12.320416666666667
Kansas,1945,53.72899999999999,12.071666666666664
Kansas,1946,56.799200000000006,13.777333333333337
Kansas,1947,54.37520000000001,12.43066666666667
Kansas,1948,53.8337,12.129833333333334
Kansas,1949,53.793350000000004,12.10741666666667
Kansas,1950,53.3804,11.878000000000002
Kansas,1951,52.293800000000005,11.274333333333336
Kansas,1952,55.02635,12.792416666666668
Kansas,1953,56.546450000000014,13.636916666666675
Kansas,1954,57.5237,14.179833333333333
Kansas,1955,54.87785,12.709916666666668
Kansas,1956,56.21075,13.450416666666666
Kansas,1957,54.0266,12.237000000000002
Kansas,1958,53.6054,12.003000000000002
Kansas,1959,54.0077,12.2265
Kansas,1960,53.07305,11.707250000000002
Kansas,1961,53.06945000000001,11.705250000000007
Kansas,1962,54.72424999999999,12.624583333333328
Kansas,1963,56.22845,13.460250000000002
Kansas,1964,55.19794999999999,12.887749999999995
Kansas,1965,54.7934,12.663
Kansas,1966,53.87915,12.155083333333335
Kansas,1967,54.273500000000006,12.374166666666671
Kansas,1968,53.92744999999999,12.181916666666664
Kansas,1969,53.64170000000001,12.023166666666672
Kansas,1970,54.473000000000006,12.485000000000005
Kansas,1971,54.32435,12.402416666666669
Kansas,1972,53.65280000000001,12.02933333333334
Kansas,1973,54.42275000000001,12.457083333333339
Kansas,1974,54.85055,12.694749999999999
Kansas,1975,54.17405,12.318916666666668
Kansas,1976,54.683749999999996,12.602083333333331
Kansas,1977,55.9664,13.314666666666668
Kansas,1978,53.145050000000005,11.747250000000003
Kansas,1979,52.73555000000001,11.519750000000007
Kansas,1980,55.51055,13.061416666666668
Kansas,1981,56.09180000000001,13.384333333333341
Kansas,1982,53.444300000000005,11.913500000000004
Kansas,1983,53.6507,12.028166666666667
Kansas,1984,54.39320000000001,12.44066666666667
Kansas,1985,52.961149999999996,11.645083333333332
Kansas,1986,56.609,13.671666666666669
Kansas,1987,55.928,13.293333333333333
Kansas,1988,55.17215000000001,12.873416666666673
Kansas,1989,53.63150000000001,12.017500000000005
Kansas,1990,55.96985,13.316583333333334
Kansas,1991,56.1569,13.4205
Kansas,1992,54.6326,12.573666666666666
Kansas,1993,52.470349999999996,11.372416666666664
Kansas,1994,55.4171,13.0095
Kansas,1995,54.45425,12.474583333333335
Kansas,1996,53.560999999999986,11.978333333333326
Kansas,1997,54.19025,12.327916666666667
Kansas,1998,56.81435000000001,13.785750000000007
Kansas,1999,56.505050000000004,13.61391666666667
Kansas,2000,56.018449999999994,13.343583333333331
Kansas,2001,56.364200000000004,13.53566666666667
Kansas,2002,55.70135,13.167416666666666
Kansas,2003,55.53470000000001,13.074833333333338
Kansas,2004,55.5233,13.0685
Kansas,2005,56.33360000000001,13.518666666666673
Kansas,2006,57.32765,14.070916666666667
Kansas,2007,55.551350000000006,13.084083333333338
Kansas,2008,54.07325,12.262916666666667
Kansas,2009,54.129200000000004,12.294000000000002
Kansas,2010,55.8158,13.231000000000002
Kansas,2011,55.753099999999996,13.196166666666665
Kansas,2012,58.70675000000001,14.837083333333338
Kansas,2013,,
Kentucky,1800,55.32740000000001,12.959666666666674
Kentucky,1801,55.9655,13.314166666666667
Kentucky,1802,56.3561,13.531166666666666
Kentucky,1803,56.10725,13.392916666666668
Kentucky,1804,55.9793,13.321833333333336
Kentucky,1805,56.355199999999996,13.530666666666665
Kentucky,1806,55.399249999999995,12.999583333333332
Kentucky,1807,55.00550000000001,12.78083333333334
Kentucky,1808,54.949400000000004,12.74966666666667
Kentucky,1809,53.51975000000001,11.955416666666672
Kentucky,1810,53.83025000000001,12.127916666666671
Kentucky,1811,54.082399999999986,12.267999999999992
Kentucky,1812,52.44845000000001,11.360250000000006
Kentucky,1813,54.456649999999996,12.475916666666665
Kentucky,1814,54.109550000000006,12.283083333333337
Kentucky,1815,53.254099999999994,11.807833333333331
Kentucky,1816,52.398950000000006,11.332750000000004
Kentucky,1817,52.6295,11.460833333333333
Kentucky,1818,53.86790000000001,12.148833333333341
Kentucky,1819,53.892050000000005,12.162250000000004
Kentucky,1820,53.82649999999999,12.125833333333327
Kentucky,1821,53.55035,11.972416666666668
Kentucky,1822,55.48955,13.049750000000001
Kentucky,1823,54.39515,12.44175
Kentucky,1824,55.131049999999995,12.850583333333331
Kentucky,1825,56.59805,13.665583333333334
Kentucky,1826,55.8029,13.223833333333335
Kentucky,1827,56.54194999999999,13.634416666666663
Kentucky,1828,57.96035,14.422416666666667
Kentucky,1829,55.2626,12.923666666666668
Kentucky,1830,57.56404999999999,14.202249999999994
Kentucky,1831,53.75074999999999,12.083749999999995
Kentucky,1832,55.83485000000001,13.24158333333334
Kentucky,1833,56.16604999999999,13.425583333333329
Kentucky,1834,56.93494999999999,13.852749999999997
Kentucky,1835,54.87109999999999,12.706166666666663
Kentucky,1836,53.583349999999996,11.990749999999998
Kentucky,1837,55.0412,12.80066666666667
Kentucky,1838,53.89745,12.16525
Kentucky,1839,55.754,13.196666666666665
Kentucky,1840,55.978100000000005,13.32116666666667
Kentucky,1841,55.299499999999995,12.944166666666664
Kentucky,1842,56.2181,13.454500000000001
Kentucky,1843,53.989250000000006,12.216250000000004
Kentucky,1844,56.41505000000001,13.563916666666671
Kentucky,1845,56.241949999999996,13.467749999999999
Kentucky,1846,56.921,13.845
Kentucky,1847,54.537500000000016,12.520833333333343
Kentucky,1848,55.3622,12.979000000000001
Kentucky,1849,54.8216,12.678666666666665
Kentucky,1850,55.4324,13.018
Kentucky,1851,55.57489999999999,13.097166666666663
Kentucky,1852,55.59485000000001,13.108250000000005
